,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean,metro,metro_dist
181,"(55.669, 55.672]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.0059746882763981966
182,"(55.669, 55.672]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.011042957031521815
183,"(55.669, 55.672]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.018383332124517288
184,"(55.669, 55.672]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Калужская,0.017745379680354504
185,"(55.669, 55.672]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Калужская,0.015006615207966575
186,"(55.669, 55.672]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.00979822943189279
187,"(55.669, 55.672]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.0026842689880135257
188,"(55.669, 55.672]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.00555925354701697
189,"(55.669, 55.672]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.0083531131920984
190,"(55.669, 55.672]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.013186148034967152
191,"(55.669, 55.672]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0,Академическая,0.01891868124369029
192,"(55.669, 55.672]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0,Каховская,0.018834829439102946
193,"(55.669, 55.672]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0,Нахимовский проспект,0.012620479388674407
194,"(55.669, 55.672]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.00614857707116458
195,"(55.669, 55.672]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.0029504236983874934
196,"(55.669, 55.672]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0,Нагорная,0.010082906327050169
197,"(55.669, 55.672]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0,Нагатинская,0.014146098402031114
198,"(55.669, 55.672]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0,Нагатинская,0.018058574140836742
199,"(55.669, 55.672]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0,Каширская,0.017091483259219175
200,"(55.669, 55.672]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.014723549164513051
201,"(55.669, 55.672]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.008850587551119478
202,"(55.669, 55.672]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.007237603194432068
203,"(55.669, 55.672]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.011786980105187417
204,"(55.669, 55.672]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.018384311246280708
205,"(55.669, 55.672]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.025485935336969114
206,"(55.669, 55.672]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0,Коломенское,0.03276557492247355
207,"(55.669, 55.672]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0,Печатники,0.03484078644347676
208,"(55.669, 55.672]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0,Печатники,0.029413099122668592
209,"(55.669, 55.672]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0,Печатники,0.02484210941123669
210,"(55.669, 55.672]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0,Печатники,0.022380357459163565
211,"(55.669, 55.672]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.020144170372588574
212,"(55.669, 55.672]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.013911779181688327
213,"(55.669, 55.672]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0,Братиславская,0.009684399826522607
214,"(55.669, 55.672]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0,Люблино,0.010007457219498035
215,"(55.669, 55.672]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0,Люблино,0.006441987271025999
216,"(55.672, 55.675]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.00609646618953226
217,"(55.672, 55.675]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.003304073243750109
218,"(55.672, 55.675]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.009857327223947292
219,"(55.672, 55.675]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0,Проспект Вернадского,0.01769652225721892
220,"(55.672, 55.675]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0,Университет,0.01880100529226839
221,"(55.672, 55.675]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.017770348899220953
222,"(55.672, 55.675]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.010699780371579405
223,"(55.672, 55.675]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0,Новые черемушки,0.005068066692540361
224,"(55.672, 55.675]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0,Профсоюзная,0.006391752498334214
